Date,Close
3/3/2015 16:00:00,43.11
3/4/2015 16:00:00,43.07
3/5/2015 16:00:00,42.94
3/6/2015 16:00:00,42.38
3/9/2015 16:00:00,42.04
3/10/2015 16:00:00,41.31
3/11/2015 16:00:00,41.31
3/12/2015 16:00:00,40.99
3/13/2015 16:00:00,40.18
3/16/2015 16:00:00,40.52
3/17/2015 16:00:00,40.28
3/18/2015 16:00:00,41.59
3/19/2015 16:00:00,41.55
3/20/2015 16:00:00,42.82
3/23/2015 16:00:00,42.4
3/24/2015 16:00:00,42.53
3/25/2015 16:00:00,43.46
3/26/2015 16:00:00,43.18
3/27/2015 16:00:00,43.26
3/30/2015 16:00:00,43.82
3/31/2015 16:00:00,43.88
4/1/2015 16:00:00,43.82
4/2/2015 16:00:00,43.96
4/6/2015 16:00:00,45.88
4/7/2015 16:00:00,44.52
4/8/2015 16:00:00,44.22
4/9/2015 16:00:00,46.04
4/10/2015 16:00:00,46.26
4/13/2015 16:00:00,45.44
4/14/2015 16:00:00,46.2
4/15/2015 16:00:00,48.26
4/16/2015 16:00:00,47.83
4/17/2015 16:00:00,46.89
4/20/2015 16:00:00,47.85
4/21/2015 16:00:00,47.05
4/22/2015 16:00:00,47.11
4/23/2015 16:00:00,48.17
4/24/2015 16:00:00,48
4/27/2015 16:00:00,48.43
4/28/2015 16:00:00,48.59
4/29/2015 16:00:00,49.21
4/30/2015 16:00:00,48.95
5/1/2015 16:00:00,49.11
5/4/2015 16:00:00,49.2
5/5/2015 16:00:00,48.04
5/6/2015 16:00:00,47.67
5/7/2015 16:00:00,46.35
5/8/2015 16:00:00,48.11
5/11/2015 16:00:00,47.19
5/12/2015 16:00:00,47.49
5/13/2015 16:00:00,47.29
5/14/2015 16:00:00,46.44
5/15/2015 16:00:00,46.7
5/18/2015 16:00:00,46.72
5/19/2015 16:00:00,45.07
5/20/2015 16:00:00,44.97
5/21/2015 16:00:00,46.16
5/22/2015 16:00:00,45.91
5/26/2015 16:00:00,45.45
5/27/2015 16:00:00,45.62
5/28/2015 16:00:00,45.35
5/29/2015 16:00:00,45.4
6/1/2015 16:00:00,45.24
6/2/2015 16:00:00,45.92
6/3/2015 16:00:00,45.62
6/4/2015 16:00:00,44.71
6/5/2015 16:00:00,45.73
6/8/2015 16:00:00,45.42
6/9/2015 16:00:00,45.28
6/10/2015 16:00:00,46.24
6/11/2015 16:00:00,45.62
6/12/2015 16:00:00,45.48
6/15/2015 16:00:00,45.55
6/16/2015 16:00:00,45.42
6/17/2015 16:00:00,45.71
6/18/2015 16:00:00,44.58
6/19/2015 16:00:00,43.85
6/22/2015 16:00:00,44.11
6/23/2015 16:00:00,44.49
6/24/2015 16:00:00,44.25
6/25/2015 16:00:00,43.5
6/26/2015 16:00:00,43.12
6/29/2015 16:00:00,42.69
6/30/2015 16:00:00,43.07
7/1/2015 16:00:00,41.56
7/2/2015 16:00:00,41.91
7/6/2015 16:00:00,40.72
7/7/2015 16:00:00,41.88
7/8/2015 16:00:00,40.94
7/9/2015 16:00:00,41.31
7/10/2015 16:00:00,41.33
7/13/2015 16:00:00,41.87
7/14/2015 16:00:00,42.56
7/15/2015 16:00:00,41.07
7/16/2015 16:00:00,40.21
7/17/2015 16:00:00,39.99
7/20/2015 16:00:00,40.72
7/21/2015 16:00:00,41.86
7/22/2015 16:00:00,41.54
7/23/2015 16:00:00,42.33
7/24/2015 16:00:00,41.72
7/27/2015 16:00:00,40.98
7/28/2015 16:00:00,41.92
7/29/2015 16:00:00,43.29
7/30/2015 16:00:00,42.29
7/31/2015 16:00:00,41.79
8/3/2015 16:00:00,40.12
8/4/2015 16:00:00,39.6
8/5/2015 16:00:00,40.61
8/6/2015 16:00:00,40.85
8/7/2015 16:00:00,39.76
8/10/2015 16:00:00,41.62
8/11/2015 16:00:00,41.95
8/12/2015 16:00:00,42.71
8/13/2015 16:00:00,41.76
8/14/2015 16:00:00,41.99
8/17/2015 16:00:00,41.29
8/18/2015 16:00:00,41.01
8/19/2015 16:00:00,39.3
8/20/2015 16:00:00,37.7
8/21/2015 16:00:00,35.69
8/24/2015 16:00:00,33.56
8/25/2015 16:00:00,33.47
8/26/2015 16:00:00,34.43
8/27/2015 16:00:00,38.04
8/28/2015 16:00:00,38.59
8/31/2015 16:00:00,39.35
9/1/2015 16:00:00,37.95
9/2/2015 16:00:00,38.17
9/3/2015 16:00:00,38.08
