Date,Close
3/3/2015 16:00:00,70.37
3/4/2015 16:00:00,70.65
3/5/2015 16:00:00,70.59
3/6/2015 16:00:00,68.41
3/9/2015 16:00:00,69.58
3/10/2015 16:00:00,68.78
3/11/2015 16:00:00,68.46
3/12/2015 16:00:00,69.56
3/13/2015 16:00:00,69.89
3/16/2015 16:00:00,71.07
3/17/2015 16:00:00,70.84
3/18/2015 16:00:00,73.54
3/19/2015 16:00:00,74.22
3/20/2015 16:00:00,76.12
3/23/2015 16:00:00,76.36
3/24/2015 16:00:00,75.56
3/25/2015 16:00:00,74.36
3/26/2015 16:00:00,73.44
3/27/2015 16:00:00,73.58
3/30/2015 16:00:00,73.87
3/31/2015 16:00:00,72.65
4/1/2015 16:00:00,71.53
4/2/2015 16:00:00,71.24
4/6/2015 16:00:00,71.31
4/7/2015 16:00:00,71.7
4/8/2015 16:00:00,72.15
4/9/2015 16:00:00,72.36
4/10/2015 16:00:00,73.92
4/13/2015 16:00:00,73.52
4/14/2015 16:00:00,73.46
4/15/2015 16:00:00,73.71
4/16/2015 16:00:00,73.49
4/17/2015 16:00:00,72.47
4/20/2015 16:00:00,72.41
4/21/2015 16:00:00,72.21
4/22/2015 16:00:00,72.3
4/23/2015 16:00:00,72.4
4/24/2015 16:00:00,71.58
4/27/2015 16:00:00,70.89
4/28/2015 16:00:00,71.18
4/29/2015 16:00:00,72.28
4/30/2015 16:00:00,71.87
5/1/2015 16:00:00,73.12
5/4/2015 16:00:00,73.05
5/5/2015 16:00:00,71.91
5/6/2015 16:00:00,72.05
5/7/2015 16:00:00,71.82
5/8/2015 16:00:00,73.26
5/11/2015 16:00:00,73.47
5/12/2015 16:00:00,72.44
5/13/2015 16:00:00,72.8
5/14/2015 16:00:00,73.06
5/15/2015 16:00:00,72.9
5/18/2015 16:00:00,72.94
5/19/2015 16:00:00,73.45
5/20/2015 16:00:00,73.36
5/21/2015 16:00:00,74.27
5/22/2015 16:00:00,74.3
5/26/2015 16:00:00,74.31
5/27/2015 16:00:00,74.9
5/28/2015 16:00:00,76.41
5/29/2015 16:00:00,78.9
6/1/2015 16:00:00,79
6/2/2015 16:00:00,77.95
6/3/2015 16:00:00,77.83
